adj.P.Val,logFC,P.Value
0.960644017,0.2407441332,0.6147818252
0.3642477641,-0.7680810435,0.0369974811
0.9994796892,0.0207313893,0.964154125
0.9977458165,-0.0568144197,0.9348248967
0.9415119271,-0.2189778135,0.5423579843
0.7249157689,-0.262326133,0.1908449648
0.6103540923,-0.4129051733,0.1171045721
0.9941325127,-0.0461434859,0.851225593
0.9699656721,0.1702844449,0.6607252281
0.8342285,-0.3630923264,0.3057214781
0.720917369,-1.444454123,0.1871386302
0.9928067055,-0.1994306732,0.8290062574
0.9518668589,-0.479049031,0.5859221996
0.9947273519,0.1313002266,0.8846698167
0.7392156141,0.3878965278,0.2025963204
0.8993978862,-0.2300645815,0.4248889658
0.9994796892,-0.0275984544,0.9615390685
0.0186472728,-0.804402154,0.0003535377
0.9947273519,-0.2385346911,0.8866532618
0.9567955747,0.1768047347,0.6053071547
0.9958746453,-0.044259131,0.9128768966
0.8580207012,0.2489039855,0.3399221428
0.9766148681,0.2511819299,0.6956806086
0.3132368349,-0.8866918647,0.0276521902
0.9994796892,-0.0327953185,0.9575723684
0.9900636793,-0.3357784302,0.7946444729
0.8547438622,0.1613418284,0.333853989
0.5030542679,1.007447126,0.0741144433
0.6620769761,-1.271915771,0.1464453862
0.9935944417,-0.1817859924,0.8346284689
0.5767219728,-0.7074420974,0.1026294641
0.9947273519,0.0621379526,0.8839984759
0.9995327291,0.0047520094,0.9812187457
0.9973745623,-0.0348892455,0.9208513347
0.9817401931,-0.2172547217,0.7303613401
0.599258528,-0.4651813895,0.1111807579
0.9924468807,0.1645441765,0.8269991387
0.9935944417,0.0824811962,0.8325533586
0.9878603996,-0.1742862033,0.7715495044
0.9547852933,-0.1614735353,0.5934941161
0.7443727739,0.90663084,0.2077843823
0.9979970729,-0.0319551233,0.9381643244
0.9899079886,-0.0545485545,0.7931237628
0.9465642359,0.0705164954,0.5669294362
0.9174485621,-0.322104711,0.4685296295
0.9955724513,0.1350055967,0.9088824941
0.827781464,-0.17882087,0.2986597371
0.9698098925,-0.1609426179,0.6598193107
0.8739538345,0.2463143558,0.3751726527
0.5185028226,0.5322566226,0.0794868489
0.9453307431,-0.2375392495,0.5592197263
0.6169286702,0.3709941562,0.1208333914
0.843557087,-0.71437401,0.3194471639
0.8617768093,-0.501817091,0.3460197411
0.9916692318,0.0450330593,0.8060566045
0.9947273519,-0.1404209751,0.9003115984
0.9916692318,0.0905737782,0.8238494705
0.2228412747,0.6622615743,0.0143220803
0.955153316,-0.1956062816,0.5992310763
0.9947273519,-0.1127813902,0.8786813116
0.803728588,-0.847337782,0.2673903544
0.5379061104,-0.2747103559,0.0861334227
0.9935944417,-0.0691073921,0.8338108794
0.9997296502,-0.0024645056,0.9887253116
0.9999047411,0.0051608712,0.9928476333
0.7984096463,-0.19121278,0.2610725086
0.2964182895,-0.8595712634,0.0246893283
0.0698,-0.5388239682,0.0022695132
0.9889591608,0.1647449683,0.786099649
0.9025941007,-0.7104884947,0.4294666207
0.6478662373,1.3943189797,0.1376119047
0.9947273519,0.1321733525,0.8906258308
0.5945550355,0.212333028,0.1096994257
0.9476937458,-0.0845363275,0.5690146842
0.9947273519,0.0788348943,0.8728372369
0.9635334704,0.1209667765,0.6269501553
0.9956129201,0.0283923024,0.911476611
0.9676350952,0.1072931231,0.6490418785
0.9050852578,-0.2290565436,0.4337865696
0.9999047411,-0.002878523,0.9945997203
0.9869599966,-0.2879209807,0.7684209888
0.9077655341,0.2338681108,0.4425112628
0.302321009,-0.3152991664,0.0257034056
0.7733824267,-0.2476769316,0.2369710349
0.9941325127,-0.0601394274,0.8497960061
0.8097306914,-0.5352649032,0.2742190692
0.8873757988,-0.2533902328,0.4018226415
0.9956129201,-0.0766523988,0.9097565728
0.3126740534,-0.8240078312,0.0275407579
0.5117064719,-0.2800446003,0.07666474
0.664981996,-0.561324832,0.1476414772
0.9973745623,0.0651629494,0.9213231419
0.870312777,-0.5068326103,0.3697946785
0.9947273519,0.254046861,0.8620192949
0.9123783222,-0.1484396161,0.454254965
0.9994796892,0.0194957235,0.9632049925
0.9916692318,-0.107180357,0.8188866174
0.8762019383,-0.3099967518,0.3800283963
0.0559590247,-0.5329008207,0.0016300891
0.9575765266,-0.1124142121,0.607061241
0.4409490278,-0.6734276676,0.0539347293
0.4532512757,-2.399158325,0.0575029976
0.8469614709,-0.3283422571,0.3254616929
0.0512376411,-0.549009107,0.0014343706
0.988138203,-0.1996239068,0.7726432936
0.9686655077,-0.2842106049,0.65472616
0.8159327781,-0.3180474416,0.2832712903
0.9279865045,0.2391300515,0.5016093735
0.9216576025,0.5966807145,0.4826248001
0.0754534013,-0.6959217942,0.0025555956
0.9561810283,-0.2129331439,0.6031337731
0.9935944417,0.1735222181,0.8411649244
0.9887118626,0.0472970104,0.7775093709
0.8089421677,-0.3074762301,0.2733790315
0.9626055499,0.3495498158,0.6251655779
0.8676847618,-0.3742644233,0.3625563414
0.9935944417,-0.2429993132,0.8402114149
0.5509968748,-0.4005361195,0.092070193
0.870312777,0.4604983233,0.3699092156
0.988269408,-0.1204231865,0.7740645848
0.9219983226,0.141926906,0.4857414355
0.8438060486,1.034172011,0.3199401122
0.6363044502,-1.2801125936,0.129623391
0.9935944417,0.038727219,0.831625311
0.8777582662,-0.7207929388,0.3828827277
0.9283024116,-0.3350302469,0.5037078013
0.9538490493,0.166628908,0.5914235205
0.9935944417,-0.297262733,0.8413023144
0.9508381182,-0.1419066078,0.580801708
0.9947273519,-0.3455732458,0.8689204861
0.801911728,-0.9671283168,0.2650140343
0.9672002827,-0.3341509538,0.642810212
0.7098215352,-0.2018677754,0.179173891
0.9639072752,0.5905490968,0.6279256313
0.9509744935,0.7791475145,0.5832780336
0.8906578473,-0.264315239,0.4080825922
0.7704470386,-0.2259185194,0.2331343052
0.8864395701,-0.2217739946,0.40083345
0.9745806468,-0.0971517868,0.6831141143
0.7857065659,-0.2778220896,0.247174031
0.9770103795,-0.2025379918,0.7016120117
0.9609013862,-0.0976547415,0.6204997515
0.9739822423,-0.0870641238,0.6791050669
0.8428870315,-1.3145854546,0.3177212038
0.3954719912,0.3711446392,0.0436388362
0.9548254826,-0.1101111179,0.5948322856
0.9569381191,0.2471958876,0.6055723035
0.9478329764,0.21695273,0.5698598382
0.8680337031,0.3388532071,0.3637307218
0.732096878,-0.2597210669,0.198331794
0.9994796892,0.0613488536,0.959789226
0.1069359469,-0.6000542573,0.004176278
0.5001136807,-0.4134741627,0.0732515126
0.9548974193,0.2173838442,0.5959268974
0.9994796892,0.0082191691,0.9692677383
0.8859875386,-0.2024403865,0.3998623527
0.9856489845,-0.0395410746,0.7625191252
0.9959164045,-0.0601587149,0.9141899644
0.7905685237,-0.153960748,0.2515658209
0.9995327291,0.0070923452,0.9750010174
0.9818714222,-0.0918384803,0.7329616955
0.7180033545,0.9776693513,0.1849975888
0.4820722602,2.0758094645,0.0670959663
